Marka,Seri,Model,Yil,Yil,Vites_Tipi,Vites_Tipi,Yakit_Tipi,Yakit_Tipi,Kasa_Tipi,Kasa_Tipi,Renk,Kimden,Garanti_Durumu
,,,2014.0,,Düz,,Benzin,,Hatchback/5,,Gri,Galeriden,Garantisi Yok
,,,2004.0,,Düz,,LPG & Benzin,,Hatchback/3,,Gri,Sahibinden,
,,,2020.0,,Otomatik,,Dizel,,Sedan,,Gri,Sahibinden,
,,,2016.0,,Yarı Otomatik,,Benzin,,Sedan,,Beyaz,Galeriden,Garantisi Var
,,,2020.0,,Otomatik,,Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Yok
,,,2015.0,,Otomatik,,Dizel,,Sedan,,Beyaz,Galeriden,Garantisi Yok
,,,2009.0,,Düz,,LPG & Benzin,,Sedan,,Gri (titanyum),Sahibinden,
,,,2020.0,,Yarı Otomatik,,Benzin,,Hatchback/5,,Beyaz,Sahibinden,
,,,2021.0,,Otomatik,,Benzin,,Hatchback/5,,Beyaz,Sahibinden,
,,,2010.0,,Düz,,Benzin,,Sedan,,Füme,Sahibinden,
,,,2011.0,,Düz,,Dizel,,Hatchback/5,,Siyah,Sahibinden,
,,,2024.0,,Otomatik,,Benzin,,Sedan,,Gri,Galeriden,Garantisi Yok
,,,2005.0,,Düz,,Dizel,,Hatchback/5,,Gri,Galeriden,Garantisi Yok
,,,2017.0,,Otomatik,,LPG & Benzin,,Hatchback/5,,Beyaz,Galeriden,Garantisi Var
,,,2023.0,,Yarı Otomatik,,Benzin,,"Hatchback/5, 5 Koltuk",,Gri,Sahibinden,Garantisi Yok
,,,2018.0,,Yarı Otomatik,,Dizel,,Sedan,,Gri (titanyum),Sahibinden,
,,,2001.0,,Düz,,LPG & Benzin,,Sedan,,Gri (Gümüş),Sahibinden,Garantisi Yok
,,,2015.0,,Otomatik,,Benzin,,Station wagon,,Beyaz,Galeriden,Garantisi Yok
,,,2010.0,,Düz,,Dizel,,"Sedan, 5 Koltuk",,Gri (Gümüş),Sahibinden,
,,,2018.0,,Düz,,LPG & Benzin,,Sedan,,Beyaz,Sahibinden,
,,,2019.0,,Otomatik,,Benzin,,Hatchback/5,,Kırmızı,Galeriden,Garantisi Yok
